Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
21.0,25.1,1.5,140.0,85.0,1.13075478266,0.0,-1.38928125678,25.9916828388,0.862604254177,27.2542935221,0.5,0.0,0.479999989271
22.0,24.2,1.4,140.0,87.0,1.135132393,0.0,-1.39830116851,25.984434775,0.74260818009,26.854657375,0.5,0.0,0.479999989271
23.0,23.3,1.4,140.0,89.0,1.14071005057,0.0,-1.36142019166,25.997543335,0.644016353483,26.4604271021,0.5,0.0,0.479999989271
0.0,22.4,1.4,140.0,91.0,1.14631756902,0.0,-1.34870240131,25.7458304068,0.536982658056,26.181796093,0.5,0.0,0.479999989271
1.0,21.6,1.3,140.0,92.0,1.1505121834,0.0,-1.43466637968,25.2656159255,0.453170327546,25.6832959921,0.5,0.0,0.479999989271
2.0,20.7,1.3,140.0,94.0,1.1561561148,0.0,-1.62249221827,24.7170943607,0.316427938449,25.2657354747,0.5,0.0,0.479999989271
3.0,19.8,1.3,140.0,96.0,1.16182571881,0.0,-1.83713475055,24.1463121814,0.196969084901,24.8377397317,0.5,0.0,0.479999989271
4.0,18.9,1.2,140.0,98.0,1.16632656668,0.0,-2.06602557012,23.5341581613,0.0739469751491,24.3749537545,0.5,0.0,0.479999989271
5.0,18.0,1.2,140.0,100.0,1.1720398493,0.0,-2.31319127993,22.9365389253,-0.0583557573687,23.9251600229,0.5,0.0,0.479999989271
6.0,19.0,1.3,140.0,100.0,1.16643583384,0.0,-2.55428053389,23.6991467951,-0.184643401535,24.3465434456,0.5,0.0,0.479999989271
